accountspayable,accountsreceivable,accruedexpenses,acquisitions,amortizationexpense,aoci,apturnover,arturnover,assetturnover,augmentedpayoutratio,baseline_price,baseline_price_next_quarter,basicdilutedeps,basiceps,bookvaluepershare,capex,cashandequivalents,cashincometaxespaid,cashinterestpaid,ccc,close_price,close_price_next_quarter,commitmentsandcontingencies,commonequity,commontocap,compoundleveragefactor,costofrevtorevenue,croic,currentdeferredrevenue,currentdeferredtaxassets,date,debt,debttoebitda,debttoequity,debttototalcapital,depreciationandamortization,depreciationexpense,dfcfnwc,dfnwc,dilutedeps,dio,dividendyield,divpayoutratio,dpo,dso,earningsyield,ebit,ebitda,ebitdagrowth,ebitdamargin,ebitdaqoqgrowth,ebitgrowth,ebitmargin,ebitqoqgrowth,effectofexchangeratechanges,efftaxrate,enterprisevalue,epsgrowth,epsqoqgrowth,evtoebit,evtoebitda,evtofcff,evtoinvestedcapital,evtonopat,evtoocf,evtorevenue,faturnover,fcffgrowth,fcffqoqgrowth,finleverage,freecashflow,goodwill,grossmargin,impairmentexpense,incometaxexpense,increasedecreaseinoperatingcapital,intangibleassets,interestburdenpct,investedcapital,investedcapitalgrowth,investedcapitalincreasedecrease,investedcapitalqoqgrowth,investedcapitalturnover,invturnover,issuanceofcommonequity,issuanceofdebt,leverageratio,longtermdebt,ltdebtandcapleases,ltdebttocap,ltdebttoequity,marketcap,marketingexpense,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netdebt,netincome,netincomecontinuing,netincomegrowth,netincomeqoqgrowth,netincometocommon,netinventory,netnonopex,netnonopobligations,netppe,nnep,noncashadjustmentstonetincome,noncontrolinttocap,noncontrollinginterestsharingratio,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,nopat,nopatgrowth,nopatmargin,nopatqoqgrowth,nwc,ocfgrowth,ocfqoqgrowth,ocftocapex,operatingcostofrevenue,operatingmargin,operatingrevenue,opextorevenue,oroa,othercurrentassets,otherfinancingactivitiesnet,otherincome,otherinvestingactivitiesnet,othernetchangesincash,othernoncurrentassets,othernoncurrentliabilities,otheroperatingexpenses,otherspecialcharges,preferredtocap,pricetobook,pricetoearnings,pricetorevenue,pricetotangiblebook,profitmargin,purchaseofinvestments,purchaseofplantpropertyandequipment,rdexpense,rdextorevenue,redeemablenoncontrollinginterest,repaymentofdebt,repurchaseofcommonequity,restructuringcharge,retainedearnings,revenuegrowth,revenueqoqgrowth,rnnoa,roa,roce,roe,roic,roicnnepspread,saleofinvestments,saleofplantpropertyandequipment,sgaexpense,sgaextorevenue,shorttermdebt,shortterminvestments,stdebttocap,tangbookvaluepershare,taxburdenpct,ticker,totalassets,totalcapital,totalcommonequity,totalcostofrevenue,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalgrossprofit,totalinterestincome,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpreferredequity,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
,,,-42000000.0,15000000.0,,nm,nm,nm,nm,1537.69,1810.0442857142855,-0.3,-0.3,nm,31000000.0,,6000000.0,,nm,18.19,21.72,,,nm,nm,0.368159,nm,,,2009-03-31,nm,nm,nm,nm,50000000.0,50000000.0,nm,nm,-0.3,nm,0.0,nm,nm,nm,nm,-82000000.0,-32000000.0,nm,-0.039801,nm,nm,-0.10199,nm,-1000000.0,-0.079545,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,,0.631841,,7000000.0,-320000000.0,,1.073171,nm,nm,nm,nm,nm,nm,25000000.0,,nm,,nm,nm,nm,14128740000.0,128000000.0,34000000.0,-96000000.0,-291000000.0,34000000.0,-96000000.0,-291000000.0,-354000000.0,nm,-95000000.0,-95000000.0,nm,nm,-95000000.0,,-9715909.1,nm,,nm,74000000.0,nm,nm,,,-104715909.1,nm,-0.130244,nm,nm,nm,nm,-9.387097,296000000.0,-0.120647,804000000.0,0.752488,nm,,9000000.0,15000000.0,,,,,,,nm,nm,nm,nm,nm,-0.118159,-158000000.0,-31000000.0,358000000.0,0.445274,,,,20000000.0,,nm,nm,nm,nm,nm,nm,nm,nm,135000000.0,,84000000.0,0.104478,,,nm,nm,1.079545,EA,,nm,,296000000.0,,,,,508000000.0,-6000000.0,,,,,605000000.0,-97000000.0,9000000.0,,-88000000.0,804000000.0,318000000.0,318000000.0,318000000.0
,,,,16000000.0,,nm,nm,nm,nm,1810.0442857142855,2123.9362499999997,-0.97,-0.97,nm,32000000.0,,5000000.0,,nm,21.72,19.05,,,nm,nm,0.623043,nm,,,2009-06-30,nm,nm,nm,nm,54000000.0,54000000.0,nm,nm,-0.97,nm,0.0,nm,nm,nm,nm,-357000000.0,-303000000.0,nm,-0.338926,-8.46875,nm,-0.399329,-3.353659,-17000000.0,0.207161,nm,nm,-2.233333,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,,0.376957,,-81000000.0,45000000.0,,1.095238,nm,nm,nm,nm,nm,nm,44000000.0,,nm,,nm,nm,nm,11799810000.0,197000000.0,51000000.0,188000000.0,-124000000.0,51000000.0,188000000.0,-124000000.0,98000000.0,nm,-310000000.0,-310000000.0,nm,-2.263158,-310000000.0,,21406649.6,nm,,nm,87000000.0,nm,nm,,,-288593350.4,nm,-0.322811,-1.755965,nm,nm,0.573883,-3.875,557000000.0,-0.407159,894000000.0,0.784116,nm,,7000000.0,7000000.0,,,,,,,nm,nm,nm,nm,nm,-0.346756,-155000000.0,-32000000.0,372000000.0,0.416107,,,,24000000.0,,nm,0.11194,nm,nm,nm,nm,nm,nm,375000000.0,,92000000.0,0.102908,,,nm,nm,0.792839,EA,,nm,,557000000.0,,,,,337000000.0,-34000000.0,,,,,701000000.0,-364000000.0,-27000000.0,,-391000000.0,894000000.0,319000000.0,319000000.0,319000000.0
,,,-16000000.0,15000000.0,,nm,nm,nm,nm,2123.9362499999997,2273.19625,-2.0,-2.0,nm,27000000.0,,5000000.0,,nm,19.05,17.75,,,nm,nm,0.55925,nm,,,2009-09-30,nm,nm,nm,nm,48000000.0,48000000.0,nm,nm,-2.0,nm,0.0,nm,nm,nm,nm,-290000000.0,-242000000.0,nm,-0.146312,0.20132,nm,-0.175333,0.187675,-33000000.0,-1.022082,nm,nm,-1.061856,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,,0.44075,368000000.0,324000000.0,363000000.0,,1.093103,nm,nm,nm,nm,nm,nm,6000000.0,,nm,,nm,nm,nm,5148840000.0,250000000.0,-8000000.0,-89000000.0,212000000.0,-8000000.0,-89000000.0,212000000.0,82000000.0,nm,-641000000.0,-641000000.0,nm,-1.067742,-641000000.0,,26287066.2,nm,,nm,442000000.0,nm,nm,,,-614712933.8,nm,-0.371652,-1.130032,nm,nm,2.709677,7.851852,925000000.0,-0.183797,1654000000.0,0.624547,nm,,-14000000.0,14000000.0,,,,,,,nm,nm,nm,nm,nm,-0.387545,-146000000.0,-27000000.0,300000000.0,0.181378,,,,18000000.0,,nm,0.850112,nm,nm,nm,nm,nm,nm,100000000.0,,82000000.0,0.049577,,,nm,nm,2.022082,EA,,nm,,925000000.0,,,,,729000000.0,-27000000.0,,,,,1033000000.0,-304000000.0,-13000000.0,,-317000000.0,1654000000.0,321000000.0,321000000.0,321000000.0
152000000.0,116000000.0,723000000.0,,12000000.0,189000000.0,13.9934,36.3103,0.9004,0.0,2273.19625,2401.8687499999996,-0.13,-0.13,9.7938,25000000.0,1621000000.0,9000000.0,,21.2064,17.75,18.66,,2145000000.0,1.0,1.376,0.405814,nm,261000000.0,51000000.0,2009-12-31,0.0,0.0,0.0,0.0,46000000.0,46000000.0,-536000000.0,1984000000.0,-0.13,37.2379,0.0,0.0,26.0837,10.0522,-0.186916,-64000000.0,-18000000.0,nm,-0.02093,0.92562,nm,-0.074419,0.77931,-7000000.0,0.288136,3300800000.0,nm,0.935,nm,nm,nm,5.3759,nm,275.0667,0.7837,11.8983,nm,nm,-0.8041,nm,807000000.0,0.594186,,-17000000.0,150000000.0,221000000.0,0.921875,614000000.0,nm,nm,nm,6.8599,9.8018,14000000.0,,1.4927,,0.0,0.0,0.0,5820800000.0,116000000.0,14000000.0,20000000.0,215000000.0,14000000.0,20000000.0,215000000.0,242000000.0,-2520000000.0,-42000000.0,-42000000.0,nm,0.934477,-42000000.0,217000000.0,-2135593.2,-2520000000.0,354000000.0,0.000847,61000000.0,0.0,0.0,61000000.0,310000000.0,-44135593.2,nm,-0.05132,0.928201,1984000000.0,nm,0.014151,8.6,349000000.0,-0.072093,860000000.0,0.666279,-0.067005,216000000.0,,-2000000.0,,,115000000.0,98000000.0,,,0.0,1.8573,nm,1.382,2.7639,-0.048837,-236000000.0,-25000000.0,332000000.0,0.386047,,,,39000000.0,800000000.0,nm,-0.480048,0.283763,-0.043972,-0.068292,-0.068292,-0.352055,-0.352902,281000000.0,,74000000.0,0.086047,,899000000.0,0.0,6.5813,0.711864,EA,4678000000.0,3134000000.0,3134000000.0,349000000.0,3120000000.0,1136000000.0,3134000000.0,3134000000.0,511000000.0,5000000.0,1544000000.0,4678000000.0,1204000000.0,408000000.0,573000000.0,-62000000.0,3000000.0,0.0,-59000000.0,860000000.0,320000000.0,320000000.0,320000000.0
166000000.0,375000000.0,661000000.0,-3000000.0,12000000.0,314000000.0,12.9639,10.8053,0.8581,0.0,2401.8687499999996,2213.88625,-0.72,-0.72,9.291,8000000.0,1205000000.0,-2000000.0,,42.0905,18.66,14.4,,2121000000.0,1.0,1.6775,0.498447,nm,433000000.0,56000000.0,2010-03-31,0.0,0.0,0.0,0.0,48000000.0,48000000.0,-363000000.0,1916000000.0,-0.72,36.4661,0.0,0.0,28.1552,33.7796,-0.174897,-242000000.0,-194000000.0,-5.0625,-0.301242,-9.777778,-1.95122,-0.375776,-2.78125,21000000.0,0.093023,4736560000.0,-1.4,-4.538462,nm,nm,nm,6.5603,nm,nm,1.1689,11.8827,nm,nm,-0.7594,nm,814000000.0,0.501553,,-24000000.0,-197000000.0,208000000.0,1.066116,722000000.0,nm,nm,0.175896,5.6122,10.0093,3000000.0,,1.5735,,0.0,0.0,0.0,7015560000.0,164000000.0,3000000.0,-112000000.0,-328000000.0,3000000.0,-112000000.0,-328000000.0,-416000000.0,-2279000000.0,-234000000.0,-234000000.0,-1.463158,-4.571429,-234000000.0,215000000.0,11790697.7,-2279000000.0,341000000.0,-0.005174,55000000.0,0.0,0.0,67000000.0,355000000.0,-222209302.3,-1.12202,-0.345046,-4.034696,1916000000.0,-0.127148,-2.525581,-41.0,321000000.0,-0.380435,644000000.0,0.881988,-0.322458,251000000.0,,3000000.0,,,116000000.0,106000000.0,,0.0,0.0,2.3377,nm,1.7314,3.545,-0.363354,-269000000.0,-8000000.0,312000000.0,0.484472,,,,14000000.0,566000000.0,-0.199005,-0.251163,1.466645,-0.311798,-0.469815,-0.469815,-1.93646,-1.931287,168000000.0,,66000000.0,0.102484,,1074000000.0,0.0,6.1269,0.906977,EA,4722000000.0,3001000000.0,3001000000.0,321000000.0,3176000000.0,1260000000.0,3001000000.0,3001000000.0,323000000.0,-16000000.0,1721000000.0,4722000000.0,1205000000.0,461000000.0,568000000.0,-245000000.0,-13000000.0,0.0,-258000000.0,644000000.0,325000000.0,323000000.0,323000000.0
273000000.0,646000000.0,848000000.0,,12000000.0,297000000.0,8.0147,6.1084,0.7889,0.0,2213.88625,2360.2855555555557,-1.21,-1.21,8.1975,259000000.0,1042000000.0,5000000.0,,55.9173,14.4,16.4475,,2184000000.0,1.0,1.92,0.752538,nm,792000000.0,74000000.0,2010-06-30,0.0,0.0,0.0,0.0,46000000.0,46000000.0,-698000000.0,1314000000.0,-1.21,41.7048,0.0,0.0,45.5416,59.7542,-0.211918,-410000000.0,-364000000.0,-0.20132,-0.461929,-0.876289,-0.148459,-0.520305,-0.694215,13000000.0,0.064593,4160200000.0,-0.247423,-0.680556,nm,nm,nm,6.4599,nm,39.621,1.0543,6.935,nm,nm,-0.7575,nm,817000000.0,0.247462,,-27000000.0,299000000.0,194000000.0,1.019512,644000000.0,nm,nm,-0.108033,6.1273,8.752,22000000.0,,1.8833,,0.0,0.0,0.0,6172200000.0,187000000.0,22000000.0,-204000000.0,6000000.0,22000000.0,-204000000.0,6000000.0,-163000000.0,-2012000000.0,-391000000.0,-391000000.0,-0.26129,-0.67094,-391000000.0,250000000.0,935406.7,-2012000000.0,569000000.0,-0.000465,52000000.0,0.0,0.0,71000000.0,344000000.0,-390064593.3,-0.351606,-0.495006,-0.755393,1314000000.0,1.048387,1.018293,0.023166,593000000.0,-0.529188,788000000.0,0.77665,-0.41046,245000000.0,,7000000.0,,,124000000.0,89000000.0,,,0.0,2.3239,nm,1.5642,3.7521,-0.496193,-136000000.0,-259000000.0,316000000.0,0.401015,,,,6000000.0,175000000.0,-0.118568,0.223602,2.297285,-0.391439,-0.735779,-0.735779,-3.033064,-3.032599,191000000.0,,91000000.0,0.115482,,970000000.0,0.0,5.0772,0.935407,EA,5002000000.0,2656000000.0,2656000000.0,593000000.0,3227000000.0,1913000000.0,2656000000.0,2656000000.0,195000000.0,-8000000.0,2346000000.0,5002000000.0,1206000000.0,433000000.0,612000000.0,-417000000.0,-1000000.0,0.0,-418000000.0,788000000.0,324000000.0,324000000.0,324000000.0
186000000.0,495000000.0,790000000.0,-275000000.0,14000000.0,238000000.0,10.3065,7.1414,0.7157,0.0,2360.2855555555557,2664.7025,-0.25,-0.25,7.9969,16000000.0,1114000000.0,5000000.0,,43.1135,16.4475,16.38,,2268000000.0,1.0,1.9178,0.526146,nm,895000000.0,95000000.0,2010-09-30,0.0,0.0,0.0,0.0,48000000.0,48000000.0,-873000000.0,911000000.0,-0.25,27.4178,0.0,0.0,35.4147,51.1103,-0.129837,-109000000.0,-61000000.0,0.747934,-0.049075,0.832418,0.624138,-0.087691,0.734146,-7000000.0,0.254545,3984750000.0,0.875,0.793388,nm,nm,nm,4.8893,nm,34.9539,1.1272,6.4273,nm,nm,-0.6864,nm,1097000000.0,0.473854,,-28000000.0,170000000.0,215000000.0,1.009174,815000000.0,nm,nm,0.265528,4.3374,13.3125,,,1.9003,,0.0,0.0,0.0,5768750000.0,208000000.0,13000000.0,-155000000.0,221000000.0,13000000.0,-155000000.0,221000000.0,72000000.0,-1784000000.0,-82000000.0,-82000000.0,0.872075,0.790281,-82000000.0,144000000.0,2236363.6,-1784000000.0,550000000.0,-0.001254,85000000.0,0.0,0.0,74000000.0,330000000.0,-79763636.4,0.870242,-0.06417,0.795512,911000000.0,0.042453,35.833333,13.8125,654000000.0,-0.086082,1243000000.0,0.559936,-0.062763,264000000.0,13000000.0,-2000000.0,-100000000.0,,221000000.0,139000000.0,,,0.0,2.2196,nm,1.6319,4.4823,-0.065969,-72000000.0,-16000000.0,290000000.0,0.233307,,,,100000000.0,93000000.0,-0.248489,0.577411,0.190193,-0.047216,-0.088141,-0.088141,-0.278334,-0.27708,308000000.0,,84000000.0,0.067578,,670000000.0,0.0,3.96,0.745455,EA,4939000000.0,2599000000.0,2599000000.0,654000000.0,2782000000.0,1871000000.0,2599000000.0,2599000000.0,589000000.0,-1000000.0,2340000000.0,4939000000.0,1607000000.0,469000000.0,696000000.0,-107000000.0,-3000000.0,0.0,-110000000.0,1243000000.0,325000000.0,325000000.0,325000000.0
91000000.0,206000000.0,717000000.0,-5000000.0,15000000.0,228000000.0,15.358,22.6957,0.7838,0.0,2664.7025,2733.241111111111,0.1,0.1,8.3969,22000000.0,1273000000.0,-42000000.0,,23.3198,16.38,19.53,,2378000000.0,1.0,1.5707,0.304392,-1.15341,766000000.0,44000000.0,2010-12-31,0.0,0.0,0.0,0.0,50000000.0,50000000.0,-985000000.0,1011000000.0,0.1,31.0035,0.0,0.0,23.7661,16.0824,-0.111633,81000000.0,131000000.0,8.277778,0.13381,3.147541,2.265625,0.082737,1.743119,-8000000.0,0.625,4068500000.0,1.769231,1.4,nm,nm,nm,5.5505,nm,26.7664,1.1134,8.202,nm,nm,-0.7703,-87875000.0,1093000000.0,0.695608,,50000000.0,117000000.0,204000000.0,0.987654,733000000.0,0.193811,119000000.0,-0.100613,5.4254,11.7729,14000000.0,,1.5903,,0.0,0.0,0.0,6064500000.0,171000000.0,15000000.0,-101000000.0,253000000.0,15000000.0,-101000000.0,253000000.0,159000000.0,-1996000000.0,30000000.0,30000000.0,1.714286,1.365854,30000000.0,100000000.0,1125000.0,-1996000000.0,537000000.0,-0.000498,56000000.0,0.0,0.0,52000000.0,244000000.0,31125000.0,1.705213,0.031793,1.390215,1011000000.0,0.176744,0.144796,11.5,298000000.0,0.08478,979000000.0,0.610827,0.064848,239000000.0,1000000.0,-2000000.0,,,175000000.0,99000000.0,2000000.0,,0.0,2.2222,nm,1.6597,4.235,0.030644,-134000000.0,-22000000.0,311000000.0,0.317671,,,,20000000.0,123000000.0,0.138372,-0.212389,-0.133243,0.024018,0.039245,0.039245,0.172487,0.172986,60000000.0,,79000000.0,0.080695,,723000000.0,0.0,4.4062,0.375,EA,4646000000.0,2729000000.0,2729000000.0,298000000.0,2585000000.0,1574000000.0,2729000000.0,2729000000.0,681000000.0,-1000000.0,1917000000.0,4646000000.0,1524000000.0,343000000.0,598000000.0,83000000.0,-3000000.0,0.0,80000000.0,979000000.0,325500000.0,325000000.0,325000000.0
55000000.0,103000000.0,620000000.0,,15000000.0,113000000.0,15.991,16.0042,0.8531,0.0,2733.241111111111,2695.2611111111114,0.29,0.29,8.2892,11000000.0,1057000000.0,6000000.0,,30.656,19.53,23.6,,2420000000.0,1.0,1.4791,0.272393,-0.728521,490000000.0,43000000.0,2011-03-31,0.0,0.0,0.0,0.0,48000000.0,48000000.0,-667000000.0,1063000000.0,0.29,30.6749,0.0,0.0,22.8254,22.8065,-0.072582,98000000.0,146000000.0,1.752577,0.179141,0.114504,1.404959,0.120245,0.209877,-16000000.0,-0.032258,3050800000.0,1.402778,1.9,nm,nm,nm,2.9851,nm,9.1892,0.7976,8.9265,nm,-1.262745,-0.6969,-198838709.7,1090000000.0,0.727607,,-3000000.0,-344000000.0,185000000.0,0.94898,1022000000.0,0.415512,300000000.0,0.39427,4.3865,11.899,1000000.0,,1.5587,,0.0,0.0,0.0,4780800000.0,127000000.0,1000000.0,-53000000.0,-148000000.0,1000000.0,-53000000.0,-148000000.0,-216000000.0,-1730000000.0,96000000.0,96000000.0,1.410256,2.2,96000000.0,82000000.0,5161290.3,-1730000000.0,516000000.0,-0.002575,52000000.0,0.0,0.0,49000000.0,231000000.0,101161290.3,1.455252,0.124124,2.250162,1063000000.0,0.54878,-1.58498,-13.454545,222000000.0,0.120245,815000000.0,0.607362,0.102585,270000000.0,,,,,177000000.0,97000000.0,2000000.0,,0.0,1.7372,nm,1.2499,3.2368,0.117791,-148000000.0,-11000000.0,275000000.0,0.337423,,,,2000000.0,219000000.0,0.265528,-0.167518,-0.381208,0.100491,0.163259,0.163259,0.544467,0.547042,106000000.0,,74000000.0,0.090798,,673000000.0,0.0,4.4488,1.032258,EA,4245000000.0,2752000000.0,2752000000.0,222000000.0,2228000000.0,1165000000.0,2752000000.0,2752000000.0,593000000.0,-5000000.0,1493000000.0,4245000000.0,1501000000.0,328000000.0,495000000.0,98000000.0,-5000000.0,0.0,93000000.0,815000000.0,331000000.0,328000000.0,332000000.0
205000000.0,444000000.0,620000000.0,,15000000.0,144000000.0,6.431,6.7303,0.7725,0.0,2695.2611111111114,2502.065555555556,-0.61,-0.61,8.0182,12000000.0,1056000000.0,1000000.0,,45.5647,23.6,20.45,,2476000000.0,1.0,1.5896,0.575277,-0.636673,743000000.0,22000000.0,2011-06-30,0.0,0.0,0.0,0.0,46000000.0,46000000.0,-740000000.0,917000000.0,-0.61,48.0888,0.0,0.0,56.7567,54.2326,-0.029014,-246000000.0,-200000000.0,0.450549,-0.316957,-2.369863,0.4,-0.389857,-3.510204,20000000.0,0.077982,3754227500.0,0.495868,-3.103448,nm,234.6392,nm,3.8269,nm,19.5533,1.0235,6.7989,nm,-1.863369,-0.693,-569348623.9,1094000000.0,0.424723,,-17000000.0,8000000.0,168000000.0,0.886179,981000000.0,0.523292,337000000.0,-0.040117,4.5145,7.5901,16000000.0,,1.7937,,0.0,0.0,0.0,5411227500.0,173000000.0,16000000.0,97000000.0,-134000000.0,16000000.0,97000000.0,-134000000.0,-1000000.0,-1657000000.0,-201000000.0,-201000000.0,0.485934,-3.09375,-201000000.0,155000000.0,-31348623.9,-1657000000.0,510000000.0,0.017088,13000000.0,0.0,0.0,48000000.0,181000000.0,-232348623.9,0.404333,-0.368223,-3.296814,917000000.0,-23.333333,0.094595,-11.166667,363000000.0,-0.399366,631000000.0,0.824089,-0.301179,207000000.0,,6000000.0,,,189000000.0,107000000.0,-28000000.0,,0.0,2.0513,nm,1.4753,3.9326,-0.318542,-114000000.0,-12000000.0,277000000.0,0.438986,,,,6000000.0,18000000.0,-0.199239,-0.225767,1.163917,-0.246085,-0.498411,-0.498411,-1.662328,-1.679416,223000000.0,,77000000.0,0.122029,,601000000.0,0.0,4.1824,0.922018,EA,4494000000.0,2638000000.0,2638000000.0,363000000.0,2485000000.0,1568000000.0,2638000000.0,2638000000.0,268000000.0,28000000.0,1856000000.0,4494000000.0,1499000000.0,288000000.0,520000000.0,-252000000.0,34000000.0,0.0,-218000000.0,631000000.0,329000000.0,329000000.0,329000000.0
162000000.0,390000000.0,746000000.0,-16000000.0,14000000.0,155000000.0,8.4425,7.8599,0.7196,0.0,2502.065555555556,2604.3042857142855,-0.97,-0.97,7.1024,15000000.0,1353000000.0,4000000.0,,34.1391,20.45,20.6,,2507000000.0,1.0,1.95,0.556505,0.002228,1100000000.0,22000000.0,2011-09-30,0.0,0.0,0.0,0.0,44000000.0,44000000.0,-1265000000.0,706000000.0,-0.97,30.9343,0.0,0.0,43.2335,46.4383,-0.073003,-303000000.0,-259000000.0,-3.245902,-0.245964,-0.295,-1.779817,-0.287749,-0.231707,-1000000.0,-0.062706,3467160000.0,-2.88,-0.590164,nm,nm,2589.2095,8.9591,nm,10.8349,0.9969,6.6122,nm,1.186178,-0.7575,106000000.0,1107000000.0,0.443495,,19000000.0,577000000.0,160000000.0,1.0,387000000.0,-0.525153,-428000000.0,-0.605505,5.787,11.7992,,,1.95,,0.0,0.0,0.0,5438160000.0,253000000.0,,-51000000.0,349000000.0,,-51000000.0,349000000.0,297000000.0,-1971000000.0,-322000000.0,-322000000.0,-2.926829,-0.60199,-322000000.0,105000000.0,0.0,-1971000000.0,502000000.0,0.0,50000000.0,0.0,0.0,44000000.0,188000000.0,-322000000.0,-3.036927,-0.305793,-0.385849,706000000.0,0.579186,3.604478,23.266667,586000000.0,-0.287749,1053000000.0,0.731244,-0.207075,226000000.0,,,,,200000000.0,173000000.0,1000000.0,,0.0,2.3063,nm,1.5636,4.9846,-0.305793,-105000000.0,-15000000.0,273000000.0,0.259259,,,,154000000.0,-304000000.0,-0.152856,0.66878,1.340521,-0.22006,-0.42911,-0.42911,-1.769631,-1.769631,85000000.0,,75000000.0,0.071225,,618000000.0,0.0,3.2861,1.062706,EA,4727000000.0,2358000000.0,2358000000.0,586000000.0,2714000000.0,2008000000.0,2358000000.0,2358000000.0,467000000.0,,2369000000.0,4727000000.0,1511000000.0,361000000.0,770000000.0,-303000000.0,,0.0,-303000000.0,1053000000.0,332000000.0,332000000.0,332000000.0
